Company Na,Address,City,State,ZIP Code,Record Typ,Longitude,Latitude,Primary NA,Primary__1,Snap
Marlboro Market,45 Massachusetts Ave,Boston,MA,2115,,-71.089096,42.34992,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Pleasant View Market,1 Savin Hill Ave,Dorchester,MA,2125,,-71.058887,42.312731,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
LA Bamba Market,1 Lorne St,Dorchester Ctr,MA,2124,,-71.089666,42.293375,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Aj Variety,7 Bowdoin St,Dorchester Ctr,MA,2124,,-71.073211,42.299441,,Convenience Stores,Yes
Aj Variety,7 Bowdoin Park,Dorchester,MA,2122,,-71.06774,42.306422,,Convenience Stores,Yes
Store 24,717 Boylston St,Boston,MA,2116,,-71.080095,42.349651,,Convenience Stores,Yes
Store 24,281 Huntington Ave # B,Boston,MA,2115,,-71.086462,42.341988,,Convenience Stores,Yes
Ruiz Market,3 Blue Hill Ave,Roxbury,MA,2119,,-71.075234,42.325068,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Dolly Market,16 Dacia St,Dorchester,MA,2125,,-71.07767,42.314542,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Hannaford Supermarket,39 Church St,Boston,MA,2116,,-71.06802,42.349383,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Karen Market,41 Bennington St,Boston,MA,2128,,-71.037315,42.375359,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Boston Mart,42 Court St,Boston,MA,2108,,-71.059189,42.359129,,Convenience Stores,Yes
Cibao Grocery,42 Maverick St,East Boston,MA,2128,,-71.04155,42.371321,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Marlboro Market,45 Massachusetts Ave,Boston,MA,2115,,-71.089096,42.34992,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Family Market,334 E 8th St,Boston,MA,2127,,-71.047679,42.331288,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Liriano Market,64 Blue Hill Ave # A,Roxbury,MA,2119,,-71.076421,42.32288,,Convenience Stores,Yes
Medina's Market,65 W Dedham St,Boston,MA,2118,,-71.07302,42.342113,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
East Coast Variety,67 Bennington St,East Boston,MA,2128,,-71.036531,42.375635,,Convenience Stores,Yes
Tropical Grocery Store,67 Hancock St,Dorchester,MA,2125,,-71.065267,42.313313,,Convenience Stores,Yes
Walnut Market,66 Walnut Park,Roxbury,MA,2119,,-71.095071,42.314872,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Aislyn Meat Market,71 Day St,Jamaica Plain,MA,2130,,-71.108325,42.324577,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
