Company Na,Address,City,State,ZIP Code,Longitude,Latitude,Type,Snap,Type_size,Underwater_36in,Underwater_7.5ft
E Shan Tang,171 Harvard Ave,Allston,MA,2134,-71.131548,42.351222,All Other Specialty Food Stores,No,1,,
Cheese Shop,20 Fleet St,Boston,MA,2113,-71.052849,42.3647,All Other Specialty Food Stores,No,1,,
Gypsy Kitchen,,Boston,MA,2108,-71.062564,42.357979,All Other Specialty Food Stores,No,1,,
South End Gourmet Shop,74 Appleton St,Boston,MA,2116,-71.072507,42.345583,All Other Specialty Food Stores,No,1,,
Agora Whispers Of Spring,20 Tremont St,Brighton,MA,2135,-71.16949,42.350127,All Other Specialty Food Stores,No,1,,
Lankagems Inc,85 Newbury St,Boston,MA,2116,-71.074963,42.351918,All Other Specialty Food Stores,No,1,,
Light & Salt Inc,166 Harvard Ave,Allston,MA,2134,-71.131362,42.35143,All Other Specialty Food Stores,No,1,,
G & S Group LLC,1 Faneuil Hall Market Pl,Boston,MA,2109,-71.053586,42.359735,All Other Specialty Food Stores,No,1,,
Boston Cheese Cellar LLC,18 Birch St,Roslindale,MA,2131,-71.130232,42.286622,All Other Specialty Food Stores,No,1,,
Sio Kam Lung Inc,65 Harrison Ave,Boston,MA,2111,-71.061313,42.351316,All Other Specialty Food Stores,No,1,,
J P Lillis Enterprises,3892 Washington St,Roslindale,MA,2131,-71.118285,42.295262,All Other Specialty Food Stores,No,1,,
Fresh Eggs Inc,58 Clarendon St,Boston,MA,2116,-71.073332,42.346442,All Other Specialty Food Stores,No,1,,
Fortune Market Inc,40 Harrison Ave,Boston,MA,2111,-71.060968,42.351664,All Other Specialty Food Stores,No,1,,
Charlestown Gourmet,5 Auburn St # 1,Charlestown,MA,2129,-71.069525,42.380561,All Other Specialty Food Stores,No,1,,
Chinatown Hit,27 Harrison Ave,Boston,MA,2111,-71.061463,42.351754,All Other Specialty Food Stores,No,1,,
Gourmet Boutique,300 Allston St # 214,Brighton,MA,2135,-71.140246,42.344017,All Other Specialty Food Stores,No,1,,
Gourmet Boutique,10 Huntington Ave,Boston,MA,2116,-71.077612,42.348298,All Other Specialty Food Stores,No,1,,
Green Food Mart Inc,15 Freeport Way,Dorchester,MA,2122,-71.056492,42.306309,All Other Specialty Food Stores,No,1,,
Beacon Hill Gourmet,65 Charles St,Boston,MA,2114,-71.070184,42.358114,All Other Specialty Food Stores,No,1,,
Lovely Fare,30 Prince St,Boston,MA,2113,-71.05444,42.364487,All Other Specialty Food Stores,No,1,,
Smart Gourmet,31 Antwerp St,Brighton,MA,2135,-71.139722,42.358789,All Other Specialty Food Stores,No,1,,
Gourmet Foods Of America Inc,Faneuil Hall Marketplace,Boston,MA,2109,-71.055237,42.359135,All Other Specialty Food Stores,No,1,,
House Of Mother Nature,357 Washington St,Brighton,MA,2135,-71.153145,42.349145,All Other Specialty Food Stores,No,1,,
Agora Gourmet,20 Tremont St,Brighton,MA,2135,-71.16949,42.350127,All Other Specialty Food Stores,No,1,,
