company_na,address,city,state,zip_code,cartodb_id,longitude,latitude,type,snap,type_size,Underwater_36in,Underwater_7.5ft
CVS/Pharmacy,101 Canal St,Boston,MA,2114,497,-71.060568,42.365167,Pharmacies & Drug Stores,No,3,,1
Truong Thanh Market,65 Beach St,Boston,MA,2111,971,-71.060109,42.351115,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Roxtar Foods LTD,1200 Washington St # 507,Boston,MA,2118,866,-71.066711,42.34302,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
G & S Group LLC,1 Faneuil Hall Market Pl,Boston,MA,2109,8,-71.053586,42.359735,All Other Specialty Food Stores,No,1,,1
Walking City Foods Inc,133 Clarendon St,Boston,MA,2117,809,-71.074001,42.34903,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Quality Mart,21 Massachusetts Ave,Boston,MA,2115,120,-71.089476,42.350696,Convenience Stores,Yes,2,,1
Lord Jeff's Beef Place,129 Newmarket Sq,Boston,MA,2118,744,-71.066883,42.33052,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Newtowne Foodmart,87 Medford St,Charlestown,MA,2129,251,-71.055535,42.379147,Convenience Stores,No,2,,1
J & J Convenience Store,11 Meridian St,Boston,MA,2128,195,-71.038751,42.370551,Convenience Stores,No,2,,1
Casablanca Meat Market,116 Blackstone St,Boston,MA,2109,453,-71.055237,42.359135,Meat Markets,No,6,,1
Sea Foods Logan B C Bar Legal,12 Harborside Dr,East Boston,MA,2128,725,-71.032514,42.377292,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Venice Convenient Inc,38 Cooper St,Boston,MA,2113,266,-71.057125,42.364388,Convenience Stores,No,2,,1
Super Stop & Shop,1100 Massachusetts Ave,Dorchester,MA,2125,962,-71.065271,42.326302,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Milanos Delicatessen,978 Saratoga St,East Boston,MA,2128,722,-71.007396,42.387029,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Lefty's Silver Cart,20 Hanson St # 1,Boston,MA,2118,925,-71.07029,42.343585,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Bramante Seafood,2 Fish Pier St W,Boston,MA,2210,383,-71.03962,42.349171,Fish & Seafood Markets,No,4,,1
Stavis Seafood,660 Summer St,Boston,MA,2210,353,-71.037939,42.345524,Fish & Seafood Markets,No,4,,1
Los Paisanos Market LLC,11 Meridian St,Boston,MA,2128,212,-71.038751,42.370551,Convenience Stores,No,2,,1
Elsol Food Market,353 Chelsea St,East Boston,MA,2128,772,-71.028734,42.378276,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Stop & Shop,365 Chelsea St,Boston,MA,2128,652,-71.028432,42.37849,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Twin Dragon Seafood Inc,10a Tyler St,Boston,MA,2111,374,-71.060463,42.350978,Fish & Seafood Markets,No,4,,1
CVS/Pharmacy,231 Massachusetts Ave,Boston,MA,2115,494,-71.08675,42.344569,Pharmacies & Drug Stores,No,3,,1
C & A Beef Co,165 Terrace St,Roxbury Crossing,MA,2120,445,-71.094875,42.334948,Meat Markets,No,6,,1
El Condor Market,337 Paris St,East Boston,MA,2128,63,-71.031584,42.37753,Convenience Stores,Yes,2,,1
Store 24,717 Boylston St,Boston,MA,2116,113,-71.080095,42.349651,Convenience Stores,Yes,2,,1
Roy's Cold Cuts,198 Marion St,Boston,MA,2128,427,-71.034673,42.375525,Meat Markets,Yes,6,,1
George Greer Foods,371 Dorchester Ave # 140,Boston,MA,2127,874,-71.059149,42.335096,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Tedeschi Food Shops,357 Tremont St,Boston,MA,2116,926,-71.067559,42.348308,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Kirin Produce Co,22 Oxford St # 24,Boston,MA,2111,416,-71.06031,42.35179,Fruit & Vegetable Markets,No,5,,1
Confama,99 Chelsea St,East Boston,MA,2128,804,-71.035664,42.372281,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
New Boston Meat,81 Newmarket Sq,Boston,MA,2118,443,-71.066826,42.329182,Meat Markets,No,6,,1
7-Eleven,252 W Newton St # 1,Boston,MA,2116,100,-71.081216,42.344733,Convenience Stores,Yes,2,,1
Boston Food Imports Inc,1024 Bennington St,Boston,MA,2128,943,-71.006,42.387166,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
G-Mart Supermarket,109 Lincoln St,Boston,MA,2111,637,-71.058504,42.351628,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Tedeschi Food Shops,177 State St # A,Boston,MA,2109,289,-71.053394,42.35937,Convenience Stores,No,2,,1
Dicks Lobby Shop,10 Causeway St # 692,Boston,MA,2222,133,-71.063096,42.365165,Convenience Stores,No,2,,1
7-Eleven Inc,66 Charles St,Boston,MA,2114,332,-71.07045,42.357576,Convenience Stores,No,2,,1
Shaw's Supermarket,33 Kilmarnock St,Boston,MA,2215,704,-71.100188,42.344209,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Dimenstional Food Corp,8 Faneuil Hall Sq,Boston,MA,2109,736,-71.055237,42.359135,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Quick Pick Convenience,973 Tremont St # A,Roxbury Crossing,MA,2120,164,-71.084116,42.337483,Convenience Stores,No,2,,1
Boston & Maine Fish Co,1 Faneuil Hall Market Pl,Boston,MA,2109,448,-71.053586,42.359735,Meat Markets,No,6,,1
Boston Bottle,372 Commercial St,Boston,MA,2109,188,-71.053869,42.360568,Convenience Stores,No,2,,1
Juice Republic Inc,200 Lincoln St # 404,Boston,MA,2111,421,-71.058495,42.350241,Fruit & Vegetable Markets,No,5,,1
Million Market,99 Chelsea St,East Boston,MA,2128,878,-71.035664,42.372281,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Lambert Beef Co,49 Food Mart Rd,Boston,MA,2118,440,-71.070838,42.340851,Meat Markets,No,6,,1
Tedeschi Food Shops,542 Commonwealth Ave,Boston,MA,2215,317,-71.096368,42.348735,Convenience Stores,No,2,,1
Trader Joe's,711 Atlantic Ave # 3,Boston,MA,2111,635,-71.05667,42.351165,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Store 24,717 Boylston St,Boston,MA,2116,35,-71.080095,42.349651,Convenience Stores,Yes,2,,1
Bazics Convenience,1 Design Center Pl,Boston,MA,2210,154,-71.034115,42.343883,Convenience Stores,No,2,,1
Snap Top Market,303 Columbus Ave,Boston,MA,2116,398,-71.07437,42.346653,Fruit & Vegetable Markets,No,5,,1
Beacon Hill Gourmet,65 Charles St,Boston,MA,2114,19,-71.070184,42.358114,All Other Specialty Food Stores,No,1,,1
Wollaston's West Village,460 Parker St,Boston,MA,2115,716,-71.092653,42.338235,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Speedway,151 Old Colony Ave,Boston,MA,2127,258,-71.05545,42.334534,Convenience Stores,No,2,,1
Portillo Food Market,44 Brooks St,East Boston,MA,2128,759,-71.032676,42.376055,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Wings Enterprises Inc,48 Beach St,Boston,MA,2111,435,-71.060794,42.35155,Meat Markets,No,6,,1
Poseidon Trident,20 Trident St,Boston,MA,2128,147,-71.010909,42.385908,Convenience Stores,No,2,,1
Yes Yes Supermarket,411 Shawmut Ave # 7,Boston,MA,2118,937,-71.073886,42.340406,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
CVS/Pharmacy,210 Border St,East Boston,MA,2128,472,-71.040644,42.375446,Pharmacies & Drug Stores,No,3,,1
Deluca's Market,17 Branch St,Boston,MA,2108,600,-71.069216,42.356755,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
CVS/Pharmacy,240 Newbury St # 240,Boston,MA,2116,493,-71.08184,42.349498,Pharmacies & Drug Stores,No,3,,1
Mass Food Market,603 Massachusetts Ave,Boston,MA,2118,107,-71.078145,42.337117,Convenience Stores,Yes,2,,1
We Juice Inc,49 Beach St # 62,Boston,MA,2111,396,-71.060799,42.351356,Fruit & Vegetable Markets,No,5,,1
7-Eleven,55 Berkeley St,Boston,MA,2116,96,-71.070267,42.346475,Convenience Stores,Yes,2,,1
777 Convenience Store,269 Main St,Charlestown,MA,2129,176,-71.066603,42.377209,Convenience Stores,No,2,,1
Meridian Food Market,121 Meridian St,Boston,MA,2128,797,-71.038774,42.373244,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Convenience Plus,789 Harrison Ave,Boston,MA,2118,61,-71.070838,42.340851,Convenience Stores,Yes,2,,1
Gateway Newsstand,401 Park Dr # 203,Boston,MA,2215,201,-71.103148,42.343754,Convenience Stores,No,2,,1
C Mart 2 Supermarket,109 Lincoln St,Boston,MA,2111,746,-71.058504,42.351628,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Faneuil Hall Market Place,1 Faneuil Hall Sq # 1,Boston,MA,2109,423,-71.055744,42.360041,Fruit & Vegetable Markets,No,5,,1
Red's Best,212 Northern Ave,Boston,MA,2210,432,-71.038265,42.350476,Meat Markets,No,6,,1
Food Pak Express,155 Southampton St,Roxbury,MA,2118,731,-71.06739,42.331174,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Whole Foods Market,348 Harrison Ave,Boston,MA,2118,609,-71.063631,42.34486,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Tedeschi Food Shops,717 Boylston St,Boston,MA,2116,298,-71.080095,42.349651,Convenience Stores,No,2,,1
Cumberland Farms,464 Chelsea St,East Boston,MA,2128,896,-71.032514,42.377292,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Delights Corner,34 Oxford St,Boston,MA,2111,166,-71.060297,42.351547,Convenience Stores,No,2,,1
Lambert's Rainbow Fruit,777 William T Morrissey Blvd,Dorchester,MA,2122,392,-71.048527,42.294926,Fruit & Vegetable Markets,Yes,5,,1
Adam Market,116 Blackstone St,Boston,MA,2109,747,-71.055237,42.359135,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
75 State St Lobby Shop,75 State St,Boston,MA,2109,181,-71.055089,42.358449,Convenience Stores,No,2,,1
Kirin Produce Co,131 Newmarket Sq,Boston,MA,2118,415,-71.066883,42.33052,Fruit & Vegetable Markets,No,5,,1
Allston Farmers' Market,175 N Harvard St,Allston,MA,2134,425,-71.12959,42.363374,Fruit & Vegetable Markets,No,5,,1
Gateway Newstand,1 Faneuil Hall Market Pl,Boston,MA,2109,229,-71.053586,42.359735,Convenience Stores,No,2,,1
