company_na,address,city,state,zip_code,longitude,latitude,type,snap,type_size,Underwater_36in,Underwater_7.5ft
Bramante Seafood,2 Fish Pier St W,Boston,MA,2210,-71.03962,42.349171,Fish & Seafood Markets,No,4,1,
Stavis Seafood,660 Summer St,Boston,MA,2210,-71.037939,42.345524,Fish & Seafood Markets,No,4,1,
Elsol Food Market,353 Chelsea St,East Boston,MA,2128,-71.028734,42.378276,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Confama,99 Chelsea St,East Boston,MA,2128,-71.035664,42.372281,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Tedeschi Food Shops,177 State St # A,Boston,MA,2109,-71.053394,42.35937,Convenience Stores,No,2,1,
Boston & Maine Fish Co,1 Faneuil Hall Market Pl,Boston,MA,2109,-71.053586,42.359735,Meat Markets,No,6,1,
Boston Bottle,372 Commercial St,Boston,MA,2109,-71.053869,42.360568,Convenience Stores,No,2,1,
Million Market,99 Chelsea St,East Boston,MA,2128,-71.035664,42.372281,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Meridian Food Market,121 Meridian St,Boston,MA,2128,-71.038774,42.373244,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Faneuil Hall Market Place,1 Faneuil Hall Sq # 1,Boston,MA,2109,-71.055744,42.360041,Fruit & Vegetable Markets,No,5,1,
Red's Best,212 Northern Ave,Boston,MA,2210,-71.038265,42.350476,Meat Markets,No,6,1,
Gateway Newstand,1 Faneuil Hall Market Pl,Boston,MA,2109,-71.053586,42.359735,Convenience Stores,No,2,1,
J & W One Lewis Wharf,1 Lewis Wharf,Boston,MA,2110,-71.051033,42.363723,Convenience Stores,No,2,1,
Quick Mart,353 Chelsea St,Boston,MA,2128,-71.028734,42.378276,Convenience Stores,Yes,2,1,
Ispanoamericana Market,153 Meridian St,East Boston,MA,2128,-71.039006,42.373929,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Rescor Of Quincy Market Inc,1 Faneuil Hall Market Pl,Boston,MA,2109,-71.053586,42.359735,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Larry's Fish Market,26 Porter St,East Boston,MA,2128,-71.037864,42.374607,Fish & Seafood Markets,No,4,1,
LA Esquina Supermarket,184 Bremen St,Boston,MA,2128,-71.034307,42.373091,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Staemis Seafood,7 Channel St,Boston,MA,2210,-71.037095,42.345024,Fish & Seafood Markets,No,4,1,
Costa's Convenience Store,184 Bremen St,Boston,MA,2128,-71.034307,42.373091,Convenience Stores,No,2,1,
Neptune Convenience & Liquor,3 Neptune Rd,Boston,MA,2128,-71.022851,42.37845,Convenience Stores,No,2,1,
Quick Mart,353 Chelsea St,Boston,MA,2128,-71.028734,42.378276,Convenience Stores,Yes,2,1,
Rite Foods,500 E St,Boston,MA,2210,-71.043142,42.343093,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
East Boston Oysters,9 Fish Pier St E,Boston,MA,2210,-71.039276,42.349369,Fish & Seafood Markets,No,4,1,
Rosauers Supermarkets Inc,120 Water St,Boston,MA,2109,-71.054665,42.358298,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Martinez Seafood Inc,212 Northern Ave,Boston,MA,2210,-71.038265,42.350476,Fish & Seafood Markets,No,4,1,
Beni's Restaurant,145 Meridian St,Boston,MA,2128,-71.039004,42.373813,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Seafood USA Coast,15 Broad St # 415,Boston,MA,2109,-71.054799,42.358721,Fish & Seafood Markets,No,4,1,
Colleen Bawn Fine Foods,1 Faneuil Hall Sq,Boston,MA,2109,-71.055744,42.360041,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,1,
Sousa Lobster Co Inc,16 Fish Pier,Boston,MA,2210,-71.039264,42.349559,Fish & Seafood Markets,No,4,1,
East Bay Seafood,8 Seafood Way # 1b,Boston,MA,2210,-71.031157,42.349045,Fish & Seafood Markets,No,4,1,
G & S Group LLC,1 Faneuil Hall Market Pl,Boston,MA,2109,-71.053586,42.359735,All Other Specialty Food Stores,No,1,1,
