storename,street_numb,street_add,address_combined,city,st,ZIP,county,type,snap,addresses
north beacon market,15,north beacon st,15 north beacon st,allston,MA,2134,suffolk,cs,yes,"15 north beacon st, allston, MA 2134"
stop & shop 089,60,everett st,60 everett st,allston,MA,2134,suffolk,sm,yes,"60 everett st, allston, MA 2134"
glenville market,85,glenville av,85 glenville av,allston,MA,2134,suffolk,sg,yes,"85 glenville av, allston, MA 2134"
"moscow international deli, inc",133,harvard avenue,133 harvard avenue,allston,MA,2134,suffolk,sg,yes,"133 harvard avenue, allston, MA 2134"
sunrise market,152,brighton ave,152 brighton ave,allston,MA,2134,suffolk,cs,yes,"152 brighton ave, allston, MA 2134"
store 24 224,157,brighton ave.,157 brighton ave.,allston,MA,2134,suffolk,cs,yes,"157 brighton ave., allston, MA 2134"
allston market,169,harvard av,169 harvard av,allston,MA,2134,suffolk,cs,yes,"169 harvard av, allston, MA 2134"
brooks pharmacy 526,181,brighton av,181 brighton av,allston,MA,2135,suffolk,co,yes,"181 brighton av, allston, MA 2135"
union market,250,brighton ave,250 brighton ave,allston,MA,2134,suffolk,sg,yes,"250 brighton ave, allston, MA 2134"
bazaar on cambridge street,424,cambridge st,424 cambridge st,allston,MA,2134,suffolk,lg,yes,"424 cambridge st, allston, MA 2134"
mayfair foods,506,cambridge st,506 cambridge st,allston,MA,2134,suffolk,mg,yes,"506 cambridge st, allston, MA 2134"
tedeschi food shop 060,509,cambridge street,509 cambridge street,allston,MA,2134,suffolk,cs,yes,"509 cambridge street, allston, MA 2134"
cheema's supermarket,562,cambridge street,562 cambridge street,allston,MA,2134,suffolk,sg,yes,"562 cambridge street, allston, MA 2134"
"super 88 market ii, inc",1095,commonwealth ave,1095 commonwealth ave,allston,MA,2134,suffolk,ss,yes,"1095 commonwealth ave, allston, MA 2134"
berezka international food store,1215,commonwealth ave,1215 commonwealth ave,allston,MA,2134,suffolk,mg,yes,"1215 commonwealth ave, allston, MA 2134"
