STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
Angels Market Inc,0,Glenway St,0 Glenway St,Dorchester,MA,2121,SUFFOLK,SG,Yes
WALGREENS 05756,1,KELLY SQUARE,1 KELLY SQUARE,EAST BOSTON,MA,2128,SUFFOLK,CO,Yes
JIMMY'S VARIETY STORE,1,UPSALA ST,1 UPSALA ST,CITY==,MA,1601,WORCESTER,SG,Yes
M & M CONVENIENCE,1,FRONT ST,1 FRONT ST,SHIRLEY,MA,1464,MIDDLESEX,CS,Yes
SAVE-A-LOT 825,1,WASHINGTON ST,1 WASHINGTON ST,TAUNTON,MA,2780,BRISTOL,SM,Yes
Makkah Market,1,Unity Ave,1 Unity Ave,Revere,MA,2151,SUFFOLK,SG,Yes
Wahconah Package & Variety,1,Wilson St,1 Wilson St,Pittsfield,MA,1201,BERKSHIRE,CS,Yes
Marlboro Market,1,E Main St,1 E Main St,Marlboro,MA,1752,MIDDLESEX,CS,Yes
Market Basket,1,General Way,1 General Way,Reading,MA,1867,MIDDLESEX,SS,Yes
PLEASANT VIEW MARKET,1,SAVIN HILL AVE,1 SAVIN HILL AVE,DOCHESTER,MA,2125,SUFFOLK,CS,Yes
STORE 24 210,1,FIRST AVE BLDG #34,1 FIRST AVE BLDG #34,CHARLESTOWN,MA,2129,SUFFOLK,CS,Yes
CUMBERLAND FARMS 2313,1,DEPOT ST,1 DEPOT ST,E WAREHAM,MA,2538,PLYMOUTH,CS,Yes
LA BAMBA MARKET,1,LORNE STREET,1 LORNE STREET,DORCHESTER,MA,2124,SUFFOLK,SG,Yes
STAR MARKET 7594/574,1,SNOW RD,1 SNOW RD,MARSHFIELD,MA,2050,PLYMOUTH,SS,Yes
LUCKY FARM,1,WEST UNION STREET,1 WEST UNION STREET,ASHLAND,MA,1721,MIDDLESEX,CS,Yes
BIG Y STORE #10,1,EAST SILVER ST,1 EAST SILVER ST,WESTFIELD,MA,1085,HAMPDEN,SS,Yes
COZY MINI MARKET,1,NORTH AVE.,1 NORTH AVE.,ATTLEBORO,MA,2703,BRISTOL,CS,Yes
STAR MARKET # 7564/506 7564,1,BOYLSTON ST,1 BOYLSTON ST,CHESTNUT HILL,MA,2467,MIDDLESEX,SS,Yes
BIG Y STORE #25,1,MYRTLE ST,1 MYRTLE ST,ADAMS,MA,1220,BERKSHIRE,SS,Yes
ASHBY MARKET INC,1,WEST MAIN STREET,1 WEST MAIN STREET,ASHBY,MA,1431,MIDDLESEX,CS,Yes
COMPARE SUPERMARKET,2,ADAMS ST EXTENSION,2 ADAMS ST EXTENSION,LYNN,MA,1902,ESSEX,SS,Yes
MELVIN'S CONVENIENCE STORE,2,UNION ST,2 UNION ST,LYNN,MA,1902,ESSEX,CS,Yes
DAILY MART,2,MILL ST,2 MILL ST,NATICK,MA,1760,MIDDLESEX,CS,Yes
Checkers General Store,2,Stadler St,2 Stadler St,Belchertown,MA,1007,HAMPSHIRE,CO,Yes
Cow Farm Mini Market,2,Coes Square,2 Coes Square,Worcester,MA,1603,WORCESTER,CS,Yes
One Stop Supermarket,2,Hyde Park Ave,2 Hyde Park Ave,Jamaica Plain,MA,2130,SUFFOLK,MG,Yes
WHITE HEN PANTRY #1-9103-3 191033,2,BLACKSTONE RIVER RD,2 BLACKSTONE RIVER RD,WORCESTER,MA,1607,WORCESTER,CS,Yes
BLACKSTONE PARK 'N' SHOP,2,MAIN STREET,2 MAIN STREET,BLACKSTONE,MA,1504,WORCESTER,SS,Yes
SUPER STOP AND SHOP 096,2,ELM RD,2 ELM RD,WOBURN,MA,1801,MIDDLESEX,SM,Yes
B & L VARIETY,2,CROWN STREET,2 CROWN STREET,WESTFIELD,MA,1085,HAMPDEN,CS,Yes
OLIVER CORNER STORE,2,OLIVER ST,2 OLIVER ST,WORCESTER,MA,1603,WORCESTER,SG,Yes
MARKET BASKET 15,2,WATER ST #1,2 WATER ST #1,HAVERHILL,MA,1830,ESSEX,SS,Yes
BROOKS PHARMACY 391,2,WATER ST #2,2 WATER ST #2,HAVERHILL,MA,1830,ESSEX,CO,Yes
NEWBURY BUTCHERY,2,MORGAN AVE,2 MORGAN AVE,NEWBURY,MA,1951,ESSEX,CS,Yes
A & J TOO,3,SECOND ST,3 SECOND ST,FRAMINGHAM,MA,1702,MIDDLESEX,CS,Yes
THE CORNER MARKET,3,GLADSTONE ST,3 GLADSTONE ST,EAST BOSTON,MA,2128,SUFFOLK,CS,Yes
YAJAIRA MARKET,3,TRENTON ST,3 TRENTON ST,LAWRENCE,MA,1841,ESSEX,CS,Yes
Neptune Convenience,3,Neptune Rd,3 Neptune Rd,E Boston,MA,2128,SUFFOLK,CS,Yes
Busters Street Market,3,Bridge St,3 Bridge St,Salem,MA,1970,ESSEX,MG,Yes
McCuskers Market,3,State St,3 State St,Shelburne Falls,MA,1370,FRANKLIN,LG,Yes
CROSBY'S MARKETPLACE,3,SUMMER STREET,3 SUMMER STREET,MANCHESTER,MA,1944,ESSEX,SS,Yes
WILLIAMSBURG MARKET,3,MAIN STREET,3 MAIN STREET,WILLIAMSBURG,MA,1096,HAMPSHIRE,MG,Yes
LA PLAZITA VARIETY STORE,3,BLUE HILL AVE.,3 BLUE HILL AVE.,ROXBURY,MA,2119,SUFFOLK,SG,Yes
LIL PEACH 469,3,BEACON ST,3 BEACON ST,LAWRENCE,MA,1843,ESSEX,CS,Yes
CVS PHARAMCY 140,3,WOODSIDE AVE.,3 WOODSIDE AVE.,WINTHROP,MA,2152,SUFFOLK,CO,Yes
CUMBERLAND FARMS 6677,3,MAIN STREET,3 MAIN STREET,BRIMFIELD,MA,1010,HAMPDEN,CS,Yes
SHORT STOP CONVENIENCE,3,PINE STREET,3 PINE STREET,GARDNER,MA,1440,WORCESTER,CS,Yes
TEDESCHI FOOD SHOP 190,3,BARKER ROAD,3 BARKER ROAD,E WAREHAM,MA,2538,PLYMOUTH,MG,Yes
VALLEY MART,4,MILL ST,4 MILL ST,GREENFIELD,MA,1301,FRANKLIN,CS,Yes
STOP AND GO,4,BARDWELL ST,4 BARDWELL ST,SOUTH HADLEY,MA,1075,HAMPSHIRE,SG,Yes
B & E Variety Store,4,Harrison St,4 Harrison St,Taunton,MA,2780,BRISTOL,MG,Yes
Nonis Mini Mart,4,Adams St,4 Adams St,Holyoke,MA,1040,HAMPDEN,CS,Yes
STORE 24 7,4,COLLEGE AVENUE,4 COLLEGE AVENUE,SOMERVILLE,MA,2144,MIDDLESEX,CS,Yes
SHAW'S SUPERMARKET 7604/586,4,RIVER ST,4 RIVER ST,DORCHESTER,MA,2124,SUFFOLK,SS,Yes
888 ASIAN GROCERY,4,PINE ST,4 PINE ST,LOWELL,MA,1851,MIDDLESEX,MG,Yes
"RICHDALE, ARTIES CORNER",4,MAIN ST,4 MAIN ST,NORTH ANDOVER,MA,1845,ESSEX,CS,Yes
WALGREENS 07704,5,PIERCE ST,5 PIERCE ST,GREENFIELD,MA,1301,FRANKLIN,CO,Yes
T&P CONVENIENCE  & ASIAN FOOD MAR,5,SUMMER ST,5 SUMMER ST,LUNENBURG,MA,1462,WORCESTER,SG,Yes
WALGREENS 09660,5,HAMDEN ST,5 HAMDEN ST,READING,MA,1867,MIDDLESEX,CO,Yes
LOUIS MARKET,5,ADAMS,5 ADAMS,SAGAMORE,MA,2561,BARNSTABLE,SG,Yes
"COUNTRY CORNER CITGO IN.C,",5,SPRINGFIELD STREET,5 SPRINGFIELD STREET,THREE RIVERS,MA,1080,HAMPDEN,CS,Yes
