STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AveWindSpeed,Precipitation,Snow Fall,Snow Depth,MaxTemp,MinTemp,Fog,Heavy_Fog,Thunder,Sleet,Hail,Rime,Dust,Blowing_Snow,High_Winds,Mist,Drizzle,Rain,Heavy_Snow,Ice_Fog
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/1/2013,6.4,0,0,,2.8,-6.7,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/2/2013,6.1,0,0,,-1.1,-11.1,,,,,,,,,,,,,1,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/3/2013,4.7,0,0,,-3.9,-13.9,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/4/2013,5.8,0,0,,3.3,-6.1,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/5/2013,4.1,0,0,,5.6,-2.8,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/6/2013,3.5,0,0,,6.1,-2.2,,,,,,,,,,,,,1,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/7/2013,4,0,0,,3.9,-1.7,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/8/2013,5.7,0,0,,7.8,-2.2,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/9/2013,3.5,0,0,,7.8,-2.2,,,,,,,1,,,,,1,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/10/2013,6.8,0,0,,8.3,1.7,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/11/2013,2,3,0,,4.4,-0.6,1,,,,,,,,,1,,1,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/12/2013,1,0.3,0,,6.7,3.3,1,,,,,,,,,1,1,1,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/13/2013,3,0,0,,10.6,4.4,,,,,,,,,,1,1,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/14/2013,5.9,0,0,,16.1,5.6,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/15/2013,2.8,0,0,,5.6,1.7,,,,,,,,,,,,1,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/16/2013,2.9,9.4,81,,2.2,-1.1,,,,1,,,,,,,1,1,1,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/17/2013,5.1,0,0,,5.6,-1.1,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/18/2013,5.8,0,0,,-1.1,-7.2,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/19/2013,7.8,0,0,,9.4,-4.4,,,,,,,,,,,,,,
USW00014739,"BOSTON, MA US",42.3606,-71.0097,3.7,1/20/2013,8.3,0,0,,12.2,-1.7,,,,,,,,,,,,,,
